cn_name,en_name,stype,genbank,desc,envir,liter,discuss,sample,other
扁枝衣,"Evernia mesomorpha Nyl. Lich. Scand. (Helsinki): 74, 1861.≡Evernia prunastri var. thamnodes Flot. Die merkw. Und selten. Flecht. Hirschberg. Warmbrunn. 5, 1839.",无信息,KY425542,地衣体：悬垂至亚悬垂，长5 ～ 10 cm；表面：枯草黄色，无光泽，具强烈的网状脊；分枝：基部至中部不规则二叉式分枝，近顶端呈等二叉分枝，分枝腋钝圆，顶端渐尖；主枝棱柱至扁枝状，直径1 ～ 3（～ 4） mm；侧生小刺及侧生小分枝：侧生小刺不出现，侧生小分枝稀疏，长4 ～ 8 mm，有时呈二叉分枝；粉芽及裂芽：裂芽丰多，枯草黄色，常粉芽化呈白色粉芽堆，密布于网状脊表面，有时形成小疣状粉芽球；皮层：连续，发育良好，无环裂；髓层：菌丝疏松，白色绒絮状；子囊盘：稀见，侧生，无柄，盘缘发育不良，有缺刻，果托常具裂芽型粉芽堆；盘面幼时凹陷，红褐色，成熟后平坦，深棕色至暗褐色，具光泽，直径0.5 ～ 5 mm；分生孢子器：未见；子囊及子囊孢子：子囊内含8个孢子；孢子无色，卵圆形，1室，直径8.4 ～ 9 × 5 ～ 5.6 μm；地衣特征化合物：髓层K-，P-，KC-或淡黄色，含divaricatic & usnic acids。,生于冷杉(Abies)、落叶松(Larix)、栎(Quercus)树干，高海拔常见岩石表面；海拔2500～4510 m。,黑龙江、吉林、内蒙古、陕西、四川、新疆、西藏、云南；北半球（王立松 2012；魏江春 1991）。,"该种与E. prunastri均具粉芽，但后者地衣体分枝宽而平坦（Brodo, Sharnoff & Sharnoff 2001）。",四川（Sichuan），稻城县，王立松02-22240；云南（Yunnan），大理，王立松 06-26231；西藏（Xizang），波密县，石海霞 等14-46212。,无信息
卷黄岛衣,"Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell, in Kärnefelt, Thell, Randlane & Saag, Acta bot. fenn. 150: 81, 1994.≡ Lichen cucullatus Bellardi, Osservaz. Bot. 1: 54, 1788.",无信息,无信息,地衣体：叶状，半直立丛生，高2～5(～8) cm；裂片：3～6 mm宽，边缘强烈波状起伏，向内内翻卷呈管状，裂片顶端常向后卷曲；上表面：光滑，黄绿色至黄棕色，局部有红色斑，基部红棕色；下表面：淡黄色，沿边缘有点状至连续的白色假杯点；子囊盘：少见，生于裂片顶端，肾形，直径5～8 mm；盘面：红棕色，凹陷。地衣特征化合物: 含usnic 和 lichesterinic acids。,高山杜鹃灌丛下土壤或石隙间；海拔4500～4700 m。,"河北、黑龙江、内蒙古、四川、西藏、云南（王立松 2012；魏江春 1991），北美、南美、欧洲、亚洲（Bjerke & Elvebakk 2010; Brodo, Sharnoff & Sharnoff 2001; Hinds, Hinds & Beyer 2007）。","该种的主要分类特征为裂片边缘向内卷曲形成管状，裂片基部红棕色；雪黄岛衣F. nivalis与本种相似，但前者裂片表面有脊状皱褶，且裂片基部为橙黄色（Hinds, Hinds & Beyer 2007）。",无信息,无信息
雪黄岛衣,"Flavocetraria nivalis (L.) Kärnefelt & A. Thell, in Kärnefelt, Thell, Randlane & Saag, Acta bot. fenn. 150: 84, 1994.≡ Lichen nivalis L., Sp. pl. 2: 1145, 1753.",无信息,有分子数据！,地衣体：狭叶状，质地硬，直立匍匐集聚丛生，高2～4 cm；裂片：不规则分叉，近顶端呈掌状分裂，宽1.5～6 mm，边缘多缺刻，不内卷，顶端轻微向后卷曲；上表面：不规则网脊状，黄绿色至黄棕色，基部橙黄色；下表面：色淡，常见圆形微凸起假杯点；子囊盘：未见；分生孢子器：裂片边缘生，暗褐色点状；地衣特征化合物：K-，KC+黄色，P-，含Usnic 及 protolichesterinic acids。,生于高山树线附近高山草甸，海拔2500～4570m。,"内蒙古、黑龙江、西藏、新疆（魏江春 1991），北美、南美、欧洲、亚洲（Bjerke & Elvebakk 2010; Brodo, Sharnoff & Sharnoff 2001; Hinds, Hinds & Beyer 2007）。",该种裂片上表面网脊状，基部橙黄色，下表面具圆形轻微凸出的假杯点。,"新疆（Xinjiang），巴音布鲁克，王立松 等12-35940；云南（Yunnan）,德钦县，王立松 等13-38583，18-60412，16-50475。",无信息
巴尔迪莫皱衣,"Flavoparmelia baltimorensis (Gyeln. & Fóriss) Hale, Mycotaxon 25(2): 604, 1986.≡ Parmelia baltimorensis Gyeln. & Fóriss, Annals Cryptog. Exot. 4(3-4): 167, 1931.",无信息,无信息,"地衣体：叶状，紧贴或疏松附着于岩石表面，地衣体圆形扩展，直径5～15 cm；裂片：2～5 mm宽，顶端钝圆，具缺刻；上表面：黄绿色，光滑或轻微皱褶，密布球形脓疱状裂芽，有时裂开，但不呈粉芽状；下表面：光滑，黑色，边缘具窄的棕色区域；假根：黑色，不分叉；子囊盘：罕见。地衣特征化合物: 含usnic 和 protocetraric acids, ± gyrophoric acid。",生于岩石表面，海拔？？。,"黑龙江、浙江（魏江春 1991），北美、南美、欧洲、亚洲（Adler & Calvelo 2010; Del-Prado 2013; Hinds, Hinds & Beyer 2007）。","该种与皱衣F. caperata相似，但后者上表面具粉芽，中央常强烈皱褶（Hinds, Hinds & Beyer 2007）。",无信息,无信息
皱衣,"Flavoparmelia caperata (L.) Hale, Mycotaxon 25(2): 604, 1986.≡ Lichen caperatus L., Sp. pl. 2: 1147, 1753.",无信息,有分子数据！,地衣体：大型叶状，紧贴或疏松附着基物，圆形扩展，直径5～20 cm；裂片：宽3～8 mm，边缘波状起伏，顶端钝圆；上表面：黄绿色，具强烈皱褶，有散生至密集颗粒状粉芽形成的粉芽堆；下表面：光滑，黑色，边缘具狭窄棕色裸露带；假根：稀疏，黑色，单一不分叉；子囊盘：未见；地衣特征化合物: 含usnic及 protocetraric acids。,树干，偶见于岩石表面；海拔820～3600 m。,安徽、广州、河北、湖北、江西、黑龙江、吉林、辽宁、内蒙古、宁夏、山东、陕西、四川、西藏、新疆、浙江、云南、台湾，泛温带地区分布（王立松 2012；魏江春 1991）。,见巴尔迪莫皱衣。,西藏（Xizang），波密县，王立松 等18-61226；察隅县，王立松 等14-46450 & 14-46411；四川（Sichuan），康定县，王立松10-31676；云南（Yunnan），元谋县，王立松10-31601。,无信息
皱黄星点衣,"Flavopunctelia flaventior (Stirt.) Hale, Mycotaxon 20(2): 682, 1984.≡ Parmelia flaventior Stirt., Trans. Glasgow Soc. Fld Nat. 5: 212, 1877.",无信息,无信息,地衣体：中至大型叶状，疏松附着基物， 直径5～10 cm，不规则至圆形扩展；裂片：宽0.5～1 cm，边缘波状起伏，顶端钝圆；上表面：黄绿色，散生至密生白色假杯点，粉芽堆生于裂片上表面及边缘；下表面：黑色，边缘具较宽棕色裸露带，稍具光泽；假根：稀疏，黑色，单一不分叉；子囊盘：未见；地衣特征化合物: 含usnic，lecanoric acids。,生于树干，海拔1900～3000 m。,"北京、河北、吉林、陕西、四川、西藏、云南（王立松 2012; 魏江春 1991），北美、欧洲、亚洲（Brodo, Sharnoff & Sharnoff 2001; Hinds, Hinds & Beyer 2007; Sohrabi & Jamshidikia 2007）。","卷叶黄星点梅F. soredica与本种相似，但区别在于后者上表面几乎没有假杯点，粉芽堆只出现在裂片边缘（Hinds, Hinds & Beyer 2007）。",标本引证（Selected specimens examined）：,无信息
卷叶黄星点衣,"Flavopunctelia soredica (Nyl.) Hale, Mycotaxon 20(2): 682, 1984.≡ Parmelia soredica Nyl., Bull. Soc. linn. Normandie, sér. 2 6(2): 316, 1872.",无信息,无信息,"地衣体：叶状，4～8 cm宽，紧贴于基物，边缘游离，近圆形扩展；裂片：0.3～1 cm宽，边缘波状，顶端钝圆；上表面：黄绿色，无或偶见不明显的假杯点，粉芽堆仅生于地衣体边缘；下表面：黑色，边缘具宽的棕色裸露区域，稍具光泽；假根：黑色，稀疏，不分叉；子囊盘：未见。地衣特征化合物: 含usnic, lecanoric acids。",泛温带树干生。,"北京、河北、黑龙江、广州、吉林、内蒙古、陕西、四川、新疆、西藏（魏江春 1991），北美、欧洲、亚洲（Brodo, Sharnoff & Sharnoff 2001; Hinds, Hinds & Beyer 2007; Sohrabi & Jamshidikia 2007）。",见皱黄星点衣。,标本引证（Selected specimens examined）：,无信息
霜绵腹衣,"Anzia colpota Vain., Bot. Mag., Tokyo 35: 19 (1921)Type: JAPAN, Yasuda, A., #248 (TUR.)","JAPAN, Yasuda, A., #248 (TUR.)",无信息,"地衣体：狭叶状，圆形或不规则扩展，直径2～5 cm；裂片：二叉式分裂，宽0.1～0.2 cm，顶端钝圆，裂腋狭窄，呈“V”字形，末端呈掌状分裂；上表面：橄榄绿色至灰绿色，无粉芽及裂芽，裂片顶端具微薄的白色粉霜层；髓层：白色，单层，无软骨质中轴；下表面：覆盖有黑色绵腹组织，边缘具狭窄的游离带；假根：单一不分叉或顶端分叉，稀疏，黑色；子囊盘：生于裂片上表面，短柄；果托常被有白色粉霜；盘面凹陷呈浅杯状，褐色至暗黄褐色，具光泽。地衣特征化合物: 皮层 K + 黄色, 髓层 K + 黄色, P-，KC-，C-; 含 atranorin, divaricatic and sekikaic acids.",生于栎（Quercus sp.）、杜鹃（Rhododendron）树干及枯树桩上；海拔2400～3500 m。,"云南，四川；亚洲、美洲（王立松，2012；Wang et al., 2015）。",该物种最显著的特征在于上表面裂片顶端覆盖有粉霜，髓层单一并缺乏中轴，含有柔扁枝衣酸（divaricatic acid）和石花酸（sekikaic acid）两种特征化合物。,云南（Yunnan），丽江县，王立松等19-62652；四川（Sichuan），木里县，王立松83-1948(A)。,无信息
阿氏棕鳞衣,"Fuscopannaria ahlneri (P.M. Jørg.) P.M. Jørg., J. Hattori bot. Lab. 76: 205, 1994.≡ Pannaria ahlneri P.M. Jørg., Op. bot. 45: 15, 1978.","NORWAY. Nord-Trondelag, Fosnes, Salen above Storevannsvik, 1939, S. Ahlner (S, holotype).",有分子！,"地衣体：叶状，玫瑰行排列，直径达3 cm；裂片：常凸起，约1 mm宽，边缘轻微内卷，具粗糙的颗粒状粉芽；上表面：浅棕色，略粗糙；下地衣体：蓝黑色，发育良好；子囊盘：少见，直径达2 mm；盘面棕色，小瘤状，盘缘局部具粉芽；子实层：I+ 蓝绿色，后红棕色；孢子：椭圆形，无色单胞， 20～25 × 10～11 μm，包含尖的孢子壁顶端。地衣特征化合物: P-，含fatty acids, terpenoids。",树干，偶见岩石表面，海拔？？。,安徽、福建、湖北、浙江（魏江春 1991），北半球广泛分布（Jørgensen 2000）。,"该种常与绵毛鳞叶衣Pannaria conoplea混淆，但后者地衣体为蓝灰色，具小鳞片，P+ 橙红色（Hinds, Hinds & Beyer 2007）。",20-66279， 18-62421.,无信息
雀斑棕鳞衣,"Fuscopannaria leucosticta (Tuck.) P.M. Jørg., J. Hattori bot. Lab. 76: 205, 1994.≡Pannaria leucosticta Tuck., Annls Sci. Nat., Bot., sér. 4 12: 294, 1859.","KOREA, Distr. Huang-haito, Aug. 1906, A. Faurie 330 (W, lectotype).",有分子！,地衣体：鳞片状，重叠排列；鳞片：直径达2 mm，边缘鳞片大于中央鳞片，长约3～4 mm；下地衣体：蓝黑色，发育良好；上表面：棕色，鳞片边缘具黏结的白色绒毛；下表面：浅棕色至灰白色，具密集同色假根；子囊盘：常见，直径0.5～1.5 mm；盘面平坦，橙色至棕色；孢子：椭圆形，无色单胞，23～27 × 9～11 μm，包含相对较宽的、尖的孢子壁顶端。地衣特征化合物: P-，含fatty acids and terpenoids。,生于树干，偶见岩石表面；海拔2300～4000 m。,"安徽、黑龙江、广州、陕西、台湾、云南、浙江（王立松 2012；魏江春1991），北美、欧洲、亚洲（Brodo, Sharnoff & Sharnoff 2001; Hinds, Hinds & Beyer 2007; Jørgensen 2000）。","本种与F. leucostictoides相似，但后者地衣体为灰色，孢子两头不变尖，含黑茶渍素（Brodo, Sharnoff & Sharnoff 2001）。",20-66333。,无信息
粉白茶渍,"Glaucomaria bicincta (Ramond) S.Y. Kondr., L. Lőkös & Farkas, Acta bot. hung. 61(1-2): 153 (2019)≡ Lecanora bicincta Ramond, Annls Sci. Nat., sér. 1 6: 132 (1827) [1823]",无信息,有分子数据！,无信息,无信息,无信息,无信息,"云南（Yunnan），香格里拉县，王立松等18-60285,18-60435。",无信息
泡胶蜂窝衣,"Gloeoheppia turgida (Ach.) Gyeln., Reprium nov. Spec. Regni veg. 38: 312 (1935)≡ Endocarpon turgidum Ach., Lich. univ.: 305 (1810)","Switzerland, no.869 in H (lectotype).","KY270466, KY270467, KY270468.","地衣体：泡状至鳞片状，鳞片膨大中空，稀疏分支，以假根状菌丝束附着基物，集聚生长，直径约10 cm；鳞片：顶部不规则圆形至扁平，有时肾形，宽0.7～2 mm，表面光滑，深绿棕色至深橄榄绿色，无光泽，具白色粉霜；子囊盘：呈疣状一个或几个半埋生于鳞片，直径0.1～0.5 mm，深棕色至黑色，无粉霜；子实层：透明（(I+ 蓝色），高80～150 μm；子实上层：棕色，厚10 μm；囊层基：透明，厚50～60 μm；子囊及子囊孢子：子囊棒状或圆柱状，内含8～12个孢子；子囊孢子单孢，椭圆或卵圆形，无色，直径10～15 × 5～7 μm；地衣体K−, P−, C−，不含地衣特征化合物。",沙土层，海拔1260～1550 m。,文献分布记录：云南、四川，地中海(南欧和北非)及阿拉伯地区（李丽娟等，2017）。,该物种与G.polyspora都具中空鳞片，不同之处在于后者地衣体具锯齿边缘，以及子囊内含16个孢子；与G.squamulose的子囊内都含8孢子，但后者具覆瓦状小鳞片，子囊盘埋生。,云南（Yunnan），永胜县，王立松 等16-50153；四川，姣平度，Harada 29103。,无信息
糙聚盘衣,"Glypholecia scabra (Pers.) Müll. Arg., Hedwigia 31: 156 (1892)≡ Urceolaria scabra Pers., Ann. Wetter. Gesellsch. Ges. Naturk. 2: 10 (1811)",无信息,有分子,地衣体：鳞片状，单生或聚生，莲座状至稀呈壳状，边缘略下卷，直径5～10 cm；上表面：灰白色至深棕色，具裂隙及褶皱，密被粉霜或有时仅鳞片边缘具粉霜；下表面：中央具脐，粗糙，苍白色或淡棕色，无下皮层和假根；髓层：白色，有草酸钙晶体，菌丝疏松网状；子囊盘：稀见至丰多，幼时呈点状，成熟后单生至聚生，幼时凹陷于地衣体表面，成熟后凸起，盘面暗棕色至黑色，具裂隙和瘤状突，盘缘与地衣体同色；子囊及子囊孢子：子囊棒状，内含多孢；孢子椭圆形至球形，直径3.5～5 × 3～4 μm，无色厚壁；地衣特征化合物：皮层及髓层K−，C+ 红色，KC+ 红色，P−，含gyrophoric acid。,石生、偶土生；海拔3400～4700 m。,"甘肃、新疆、宁夏、西藏，世界干旱地区广布（Ryan, 2002）。",本种下表面中央具脐，以及莲座状聚生至单鳞片地衣体，其形态变化特别大；但子囊盘成熟后聚生，盘面有明显的裂隙和瘤状突，显微镜下子囊盘由多个小室联合，每个小室均有完整的囊盘被。,青海（Qinghai），玛多县，王立松等20-68207；治多县，王立松等20-68486；西藏（Xizang），拉萨，王立松等16-53800。,无信息
粗糙土黄衣,"Golubkovia trachyphylla (Tuck.) S.Y. Kondr., Kärnefelt, Elix, A. Thell, Jung Kim, M.H. Jeong, N.N. Yu, A.S. Kondr. & Hur, Acta Bot. Hung. 56(1～2): 164. 2014.≡ Placodium elegans var. trachyphyllum Tuck., Syn. N. Amer. Lich. (Boston) 1: 170. 1882",无信息,无信息,地衣体 : 壳状，圆形至不规则紧贴基物扩展，直径达5～30cm，中央鳞片相互紧密靠生局部呈壳状龟裂，周缘裂片略分离呈细长鳞片，鳞片明显凸起，宽0.5～1.5 mm；上表面：粗糙疣状，橘黄色至土黄色，无粉芽和裂芽；子囊盘：双缘型，贴生于地衣体中央鳞片上表面，盘面与地衣体同色，无粉霜，直径约1 mm；子实层：无色透明，厚70～90 µm；子囊及子囊孢子：子囊柱状，内含8个孢子；孢子无色，椭圆型，具一个分隔，直径11～15.5 × 5.5～7 µm；分生孢子器未见；地衣特征化合物：地衣体及子囊盘K+紫色，含parietin及emodin。,岩石表面生；海拔2900～4439m。,甘肃、新疆，北美、亚洲北部地区。,该种地衣体较大、土黄色，鳞片上表面粗糙疣状易识别。,甘肃（Gansu），肃北蒙古族自治县，王立松等18-59419；青海（Qinghai），曲麻莱县，王立松等20-68317。,无信息
荒漠橙果衣,无信息,无信息,无信息,地衣体：壳状，呈花环状扩展，紧密贴生于土壤表面，直径0.6 ～ 1.5 cm，边缘分化呈裂片状；裂片：1 ～ 2 mm长，0.4 ～ 1.2 mm宽，上表面：灰黄色至浅橘色，表面覆盖有白色粉霜，皮层发育不良，藻层不连续分布；子囊盘：通常生于裂片中央，盘面凸起，棕色至橘棕色，盘缘较薄，与盘面同色；子囊：Teloschistes型，具8孢，孢子具一次分隔，透明无色，宽椭圆形，12.5 ～ 17.5  6 ～ 8 μm；地衣特征化合物：皮层：K+紫红色，C-，PD-，子囊盘K+紫红色，C-，PD-，含有Parietin。,生于荒漠和高海拔地区土壤表面，通常与Toninia，Gypsoplaca等类群混生；海拔2600 ～ 4000 m。,无信息,该物种的是干旱荒漠地区土表常见的物种，是土壤结皮的构成物种之一，主要识别特征为地衣体具有裂片，上表面有粉霜，孢子为透明双胞。该物种与光亮橙果衣（Gyalolechia fulgens）在外形上较为相似，但后者的地衣体裂片更宽并更明显，并且孢子为透明单胞。,青海，乌兰，王立松等18-58280；甘肃，张掖，王立松等18-58877。,无信息
黄绿橙果衣,"Gyalolechia flavovirescens (Wulfen) Søchting, Frödén & Arup, in Arup, Søchting & Frödén, Nordic Jl Bot. 31(1): 70 (2013)≡Lichen flavovirescens Wulfen, Schr. Ges. naturf. Freunde, Berlin 8: 122 (1787).",无信息,无信息,地衣体：壳状、鳞壳状至颗粒状，紧贴基物生长，圆形或不规则扩展，直径2 ～ 8 cm，边缘常具黑色下地衣体；上表面：硫磺色至黄绿色，具网状龟裂，无粉芽及裂芽；子囊盘：茶渍型，单生或靠生，密集，圆盘状，果托明显，盘面扁平至凹陷，成熟后凸起，橘红色或与地衣体同色，直径0.2 ～ 1.0 mm；子囊：含8 孢子，孢子无色，椭圆形，双胞，直径10 ～ 16 × 6 ～ 8 μm；地衣特征化合物：子囊盘缘及地衣体K+ 血红色，含parietin，fallacinal，emodin和teloschistin。,生于石灰岩表面，海拔660 ～ 3800 m。,吉林、内蒙古、四川、江苏、浙江、上海、香港、台湾（？？）,该物种的主要特征在于其地衣体较薄，紧密贴生于石灰岩石表面，子囊盘呈橘黄色，它与红橙果衣（Gyalolechia flavorubescens）在外形上较为相似，但后者仅生长于树干表面。,四川，渡口，王立松83-191；云南，香格里拉，王立松93-13756；西藏（Xizang），桑日县，王立松 等19-64189。,无信息
光亮橙果衣,"Gyalolechia fulgens (Sw.) Søchting, Frödén & Arup, in Arup, Søchting & Frödén, Nordic Jl Bot. 31(1): 70 (2013)≡ Lichen fulgens Sw., Nova Acta Acad. Upsal. 4: 246 (1784).",无信息,有分子？！,地衣体：鳞壳状至近叶状，紧密贴土壤表面圆形扩展，直径约2 cm；鳞片：中央鳞片相互靠生，近边缘裂片离生，宽1 ～ 2 mm；上表面：平滑，浅黄色至橘黄色，表面覆盖白色粉霜，无粉芽及裂芽，皮层发育不良，有时呈粉末状，藻层不连续；子囊盘：偶见，贴生，盘面平滑，橘红色，直径约1 mm，盘缘色淡；子囊及子囊孢子：子囊Teloschistes型，内含8个孢子；孢子单胞，无色，宽椭圆形，直径10 ～ 15  4 ～ 5 μm；地衣特征化合物：皮层K+紫红色，C+红色，PD-，含有Parietin。,常见于高海拔干旱地区，土壤表面及石隙间；海拔4000 ～ 4200 m。,无信息,该种的主要特征为地衣体具有较扁宽鳞片，紧密贴生基物；与荒漠橙果衣（G. desertorum）较相似，但后者孢子双胞。,西藏（Xizang），八宿，王立松等16-51828；青海（Qinghai），甘德县，王立松等 20-68073。,无信息
未命名_pid189,无信息,无信息,无信息,无信息,无信息,无信息,无信息,无信息,无信息
台湾绵腹衣,"Anzia formosana Asahina, J. Jap. Bot. 13(no. 4): 221, fig. 1-5 (1937)Type: CHINA, Taiwan, leg. M. Ogata (hb. Asahina)","CHINA, Taiwan, leg. M. Ogata (hb. Asahina)",无信息,"地衣体：叶状，疏松或紧贴基物，呈圆形或不规则扩展，直径5～8cm；裂片：狭叶型，重复二叉式分裂，宽1～2 mm，裂腋呈“V”形，顶端钝圆至尖头状；上表面：灰白色至淡灰褐色，无粉芽、裂芽及粉霜层；髓层：双层，上层菌丝致密呈白色，下层菌丝疏松呈灰色，无中轴；下表面：具连续的黑色海绵状菌丝组织，边缘无游离带；假根：稀疏，单一，黑色；子囊盘：稀少，盘面凹陷，暗红褐色，具光泽，直径0.2～1cm。地衣特征化合物: 皮层 K + 黄色, 髓层 K + 黄色, P –, KC –, C + 红色; 含 atranorin, chloroatranorin and anziaic acid.",生于高山松（Pinus densata）、栎（Quercus sp.）、花楸（Sorbus sp.）、杜鹃（Rhododendron sp.）和冷杉（Abies sp.）树枝及枯木上，海拔1800～3000 m。,"云南、四川、西藏、湖南、台湾；中国特有种（Wang et al., 2015）。",该物种主要特征在于狭长的裂片，髓层分为两层，并且含有绵腹衣酸（髓层C+红色）。该种与淡绵腹衣（A. hypoleucoides）在外形上较为相似，区别在于后者只具有单层髓层，具有中轴，并且不含有绵腹衣酸（髓层C-）。,四川（Sichuan），木里县，王立松01-21015。,无信息
高原鳞型衣,"Gypsoplaca alpina H.X. Shi & Li S. Wang, in Shi, Wang, Zhou, Liu, Zhang, Yang, Timdal & Wang, Mycol. Progr. 17(7): 783 (2018)Type: CHINA, Xizang Prov., Basu Co., Wang Lisong et al. 14-45992 (KUN)","CHINA, Xizang Prov., Basu Co., Wang Lisong et al. 14-45992 (KUN)",无信息,地衣体：鳞片状，圆形至狭长形，直径2 ～ 5 mm，紧贴基物生长；上表面：具光泽，红棕色至深棕色，无粉霜，具深裂隙，常覆盖有胶质层；共生藻：绿球藻，藻层不连续；髓层：具有草酸钙结晶；下表面：浅棕色至黑色，具假根束，假根与下表面同色；子囊盘：呈疣状凸起，表面脑纹状，红棕色至深棕色，无粉霜，直径3 mm；子囊及子囊孢子：棒状，含8个孢子；孢子无色单胞，椭圆形，12.5 ～ 15 × 7.5 ～ 10 μm；地衣特征化合物：皮层K-，C-，PD-；成分未知。,常见于高山草甸，生于土表，海拔4100 ～ 5200 m。,无信息,该物种的主要特征为地衣体相对该属的其他物种较小，上表面具有明显的裂隙，通常覆盖有较厚的胶质层，子囊盘为强烈的凸起状或疣突状，并且表面有脑状纹路，此外，该物种仅分布于高海拔地区。,西藏，八宿，王立松等16-52597；云南，德钦，王立松等15-49951。,无信息
芽鳞型衣,"Gypsoplaca blastidiata (Zhurb.) H.X. Shi & Li S. Wang, in Shi, Wang, Zhou, Liu, Zhang, Yang, Timdal & Wang, Mycol. Progr. 17(7): 785 (2018)Type: RUSSIA, Taimyr Peninsula, Zhurbenko 95404 (LE)","RUSSIA, Taimyr Peninsula, Zhurbenko 95404 (LE)",无信息,地衣体：鳞片状，单叶型，成熟后有时呈分裂状，直径最大至30 mm，圆形至狭长形，紧贴基物生长；上表面：绿棕色至棕色，通常具有白色的边缘，无粉芽，无粉霜，轻微凹陷，边缘处具有密集簇生的裂芽簇（Blastidia）；共生藻：绿球藻，藻层不连续；髓层：白色，具有草酸钙结晶；下表面：浅棕色至黑色，覆盖有假根束，假根与下表面同色；子囊盘：偶见；地衣特征化合物：皮层K-，C-，PD-，含未知成分，不含brialmontin和sesterterpenes。,生于高海拔地区土表，海拔4000 ～ 4700 m。,无信息,"该物种是由大叶鳞型衣种下变型（Gypsoplaca macrophylla f. blastidiata）提升至种，它与原变型（f. macrophylla）的主要区别在于地衣通常不具有子囊盘，边缘处密集生有裂芽簇，由于该变型与原变型在分子上形成了两个独立的分化支，因而被提升为了种（Shi et al., 2018）。",西藏，八宿，王立松等16-51840；那曲，王立松等16-54514。,无信息
泡鳞型衣,"Gypsoplaca bullata H.X. Shi & Li S. Wang, in Shi, Wang, Zhou, Liu, Zhang, Yang, Timdal & Wang, Mycol. Progr. 17(7): 786 (2018)Type: CHINA, Xizang, Zuogong Co., Wang Lisong et al. 16-54559 (KUN)","CHINA, Xizang, Zuogong Co., Wang Lisong et al. 16-54559 (KUN)",有分子！,地衣体：泡鳞状，鳞片相互紧密靠生，疏松或紧贴基物生长，直径3 ～ 6cm，单鳞片直径约10 mm；上表面：疣状，无光泽，浅绿色、黄绿色至深棕色，无粉霜，具裂隙；下表面：白色至浅棕色，有假根束，假根束与下表面同色；子囊盘：幼时内陷生于地衣体表面或边缘呈疣状，成熟后凸起呈饼状内嵌或半埋生，盘面平滑，红棕色，无粉霜，边缘不明显；髓层：菌丝疏松至中空，有草酸钙结晶；子囊及子囊盘：子囊棒状，内含8个孢子；孢子无色，单胞，椭圆形，12.5 ～ 15 × 7.5 ～ 10 μm；共生藻：绿球藻，藻层不连续；地衣特征化合物：皮层K-，C-，PD-，含brialmontin。,高海拔土表；海拔3400 ～ 4200 m。,无信息,该种的主要特征为泡鳞状和红棕色地衣体；与泡鳞衣属（Toninia）在外形上较相似，但后者地衣体橄榄绿色至黑色，子囊盘具明显盘缘。,西藏（Xizang），巴青，王立松等16-53953；左贡，王立松等16-54551；八宿县，王立松等16-51854；尼木县，王立松等19-65104。,无信息
大叶鳞型衣,"Gypsoplaca macrophylla (Zahlbr.) Timdal, in Jahns, Biblthca Lichenol. 38: 424 (1990)≡ Lecidea macrophylla Zahlbr., in Handel-Mazzetti, Symb. Sinic. 3: 110 (1930)","CHINA, Yunnan, Handel-Mazzetti, No 5954 (S！).",有分子！,地衣体：鳞片状，鳞片相互紧密靠生，疏松或紧贴基物生长，直径3 ～ 10cm，单鳞片直径约30mm，圆形至狭长形；上表面：绿棕色至棕色，微凹陷，通常具有白色的边缘，无粉芽及粉霜；髓层：菌丝疏松，白色，具有草酸钙结晶；下表面：浅棕色至黑色，具假根束，假根束与下表面同色；共生藻：绿球藻，藻层不连续；子囊盘：内嵌于地衣体中，边缘不明显，与地衣体呈连续状生长，幼时离散状，成熟后集聚，盘面红棕色，平滑，无粉霜；子囊及子囊孢子：子囊棒状，内含8个孢子；孢子无色，单胞，椭圆形，直径13 ～ 17 × 7 ～ 9 μm；地衣特征化合物：皮层K-，C-，PD-，含triterpenoids。,高山草甸及冻土层；海拔3800～ 4569 m。,无信息,该物种的主要特征为地衣体为鳞片状，子囊盘与泡状鳞型衣（G. bullata）外形相似，但不同之处在于后者地衣体为泡鳞状。,西藏（Xizang），八宿，王立松等14-45809；江达县，王立松等20-68961；云南（Yunnan），德钦，王立松等13-38499(b) & 18-60417；甘肃（Gansu），肃南至祁连途中，王立松等 18-59840；；青海（Qinghai），玛沁县，王立松等20-67962 & 20-68218。,无信息
